1,9,5900,Jeremy Shockey,TE,4.1
1,9,8261,Adrian Peterson,BN,0.0
1,9,6766,Roy Williams,BN,10.0
1,9,6337,Carson Palmer,BN,12.96
1,9,5949,Antonio Bryant,BN,0.0
1,9,9348,Mike Wallace,BN,13.2
1,9,7434,Rob Bironas,K,4.0
1,9,7867,Stephen Gostkowski,BN,9.0
1,9,100024,San Diego,DEF,8.0
1,10,6337,Carson Palmer,QB,6.92
1,10,7801,Greg Jennings,WR,6.5
1,10,8021,Miles Austin,WR,4.0
1,10,8333,Mike Sims-Walker,WR,10.4
1,10,7180,Cedric Benson,RB,2.2
1,10,8261,Adrian Peterson,RB,19.3
1,10,5900,Jeremy Shockey,TE,5.7
1,10,6760,Eli Manning,BN,0.0
1,10,7285,Marion Barber,BN,5.2
1,10,6766,Roy Williams,BN,15.0
1,10,5949,Antonio Bryant,BN,0.0
1,10,9348,Mike Wallace,BN,2.1
1,10,7867,Stephen Gostkowski,K,4.0
1,10,7434,Rob Bironas,BN,6.0
1,10,100024,San Diego,DEF,4.0
1,11,6337,Carson Palmer,QB,13.98
1,11,7801,Greg Jennings,WR,19.1
1,11,8021,Miles Austin,WR,6.7
1,11,8333,Mike Sims-Walker,WR,17.1
1,11,7180,Cedric Benson,RB,0.0
1,11,8261,Adrian Peterson,RB,11.8
1,11,5900,Jeremy Shockey,TE,2.7
1,11,6760,Eli Manning,BN,23.36
1,11,7285,Marion Barber,BN,9.2
1,11,6766,Roy Williams,BN,0.0
1,11,5949,Antonio Bryant,BN,5.5
1,11,9348,Mike Wallace,BN,4.2
1,11,7867,Stephen Gostkowski,K,2.0
1,11,7434,Rob Bironas,BN,8.0
1,11,100024,San Diego,DEF,16.0
1,12,6337,Carson Palmer,QB,8.9
1,12,7801,Greg Jennings,WR,7.3
1,12,8021,Miles Austin,WR,22.0
1,12,8333,Mike Sims-Walker,WR,6.6
1,12,8261,Adrian Peterson,RB,13.3
1,12,7285,Marion Barber,RB,11.2
1,12,5900,Jeremy Shockey,TE,0.0
1,12,7180,Cedric Benson,BN,0.0
1,12,6760,Eli Manning,BN,6.5
1,12,6766,Roy Williams,BN,6.5
1,12,5949,Antonio Bryant,BN,14.6
1,12,9348,Mike Wallace,BN,0.0
1,12,7867,Stephen Gostkowski,K,0.0
1,12,7434,Rob Bironas,BN,6.0
1,12,100024,San Diego,DEF,11.0
2,1,4650,Donovan McNabb,QB,14.86
2,1,6339,Andre Johnson,WR,5.5
2,1,8277,Dwayne Bowe,WR,10.0
2,1,4863,Donald Driver,WR,5.9
2,1,7286,Brandon Jacobs,RB,7.3
2,1,7635,Ryan Grant,RB,11.2
2,1,8292,Zach Miller,TE,12.6
2,1,7779,Joseph Addai,BN,12.2
2,1,4416,Matt Hasselbeck,BN,18.46
2,1,8800,Rashard Mendenhall,BN,0.6
2,1,6975,Patrick Crayton,BN,20.0
2,1,8407,Kevin Boss,BN,7.7
2,1,8305,Steve Smith,BN,11.0
2,1,6290,Jeff Reed,K,4.0
2,1,100003,Chicago,DEF,6.0
2,2,4416,Matt Hasselbeck,QB,5.08
2,2,6339,Andre Johnson,WR,27.9
2,2,8277,Dwayne Bowe,WR,12.1
2,2,4863,Donald Driver,WR,16.9
2,2,7286,Brandon Jacobs,RB,5.8
2,2,7635,Ryan Grant,RB,10.3
2,2,8292,Zach Miller,TE,0.0
2,2,4650,Donovan McNabb,BN,0.0
2,2,7779,Joseph Addai,BN,4.4
2,2,8800,Rashard Mendenhall,BN,5.7
2,2,6975,Patrick Crayton,BN,2.9
2,2,8407,Kevin Boss,BN,1.8
2,2,8305,Steve Smith,BN,22.4
2,2,6290,Jeff Reed,K,0.0
2,2,100003,Chicago,DEF,7.0
2,3,6343,Byron Leftwich,QB,0.18
2,3,6339,Andre Johnson,WR,10.6
2,3,4863,Donald Driver,WR,16.8
2,3,8305,Steve Smith,WR,13.8
2,3,7286,Brandon Jacobs,RB,13.2
2,3,7635,Ryan Grant,RB,10.9
2,3,8292,Zach Miller,TE,2.7
2,3,4416,Matt Hasselbeck,BN,0.0
2,3,8277,Dwayne Bowe,BN,0.0
2,3,4650,Donovan McNabb,BN,0.0
2,3,7779,Joseph Addai,BN,12.6
2,3,8800,Rashard Mendenhall,BN,0.0
2,3,8407,Kevin Boss,BN,3.7
2,3,7022,Lawrence Tynes,K,2.0
2,3,100003,Chicago,DEF,8.0
2,4,3115,Kerry Collins,QB,17.36
2,4,6339,Andre Johnson,WR,7.6
2,4,4863,Donald Driver,WR,7.5
2,4,8305,Steve Smith,WR,26.9
2,4,7286,Brandon Jacobs,RB,9.3
2,4,7635,Ryan Grant,RB,12.1
2,4,8292,Zach Miller,TE,4.8
2,4,4416,Matt Hasselbeck,BN,0.0
2,4,8277,Dwayne Bowe,BN,1.6
2,4,4650,Donovan McNabb,BN,0.0
2,4,7779,Joseph Addai,BN,17.1
2,4,8407,Kevin Boss,BN,6.1
2,4,4653,Ricky Williams,BN,14.1
2,4,7022,Lawrence Tynes,K,5.0
2,4,100003,Chicago,DEF,9.0
2,5,4650,Donovan McNabb,QB,22.56
2,5,6339,Andre Johnson,WR,22.1
2,5,8305,Steve Smith,WR,8.5
2,5,8277,Dwayne Bowe,WR,13.9
2,5,7286,Brandon Jacobs,RB,8.0
2,5,7779,Joseph Addai,RB,17.0
2,5,8292,Zach Miller,TE,8.9
2,5,8407,Kevin Boss,BN,0.0
2,5,3115,Kerry Collins,BN,5.46
2,5,4863,Donald Driver,BN,0.0
2,5,7635,Ryan Grant,BN,0.0
2,5,4416,Matt Hasselbeck,BN,23.94
2,5,4653,Ricky Williams,BN,15.3
2,5,7022,Lawrence Tynes,K,6.0
2,5,100011,Indianapolis,DEF,9.0
2,6,4650,Donovan McNabb,QB,11.56
2,6,6339,Andre Johnson,WR,17.5
2,6,8305,Steve Smith,WR,6.4
2,6,4863,Donald Driver,WR,14.2
2,6,7286,Brandon Jacobs,RB,4.0
2,6,7635,Ryan Grant,RB,12.2
2,6,7206,Heath Miller,TE,14.5
2,6,8292,Zach Miller,BN,20.9
2,6,8277,Dwayne Bowe,BN,13.9
2,6,7779,Joseph Addai,BN,0.0
2,6,3115,Kerry Collins,BN,-3.38
2,6,4416,Matt Hasselbeck,BN,1.68
2,6,4653,Ricky Williams,BN,0.0
2,6,7022,Lawrence Tynes,K,5.0
2,6,100028,Washington,DEF,9.0
2,7,4650,Donovan McNabb,QB,8.74
2,7,6339,Andre Johnson,WR,7.2
2,7,8305,Steve Smith,WR,8.9
2,7,4863,Donald Driver,WR,13.4
2,7,7635,Ryan Grant,RB,19.6
2,7,7779,Joseph Addai,RB,11.2
2,7,7206,Heath Miller,TE,6.8
2,7,8292,Zach Miller,BN,2.5
2,7,7286,Brandon Jacobs,BN,13.7
2,7,8277,Dwayne Bowe,BN,6.1
2,7,4416,Matt Hasselbeck,BN,0.0
2,7,4653,Ricky Williams,BN,22.2
2,7,8290,Kevin Kolb,BN,0.0
2,7,7022,Lawrence Tynes,K,2.0
2,7,100011,Indianapolis,DEF,14.0
2,8,4650,Donovan McNabb,QB,18.6
2,8,6339,Andre Johnson,WR,11.3
2,8,8305,Steve Smith,WR,10.8
2,8,4863,Donald Driver,WR,9.3
2,8,7635,Ryan Grant,RB,6.6
2,8,7779,Joseph Addai,RB,11.48
2,8,8292,Zach Miller,TE,7.7
2,8,7206,Heath Miller,BN,0.0
2,8,7286,Brandon Jacobs,BN,11.7
2,8,8277,Dwayne Bowe,BN,0.0
2,8,4416,Matt Hasselbeck,BN,15.96
2,8,4653,Ricky Williams,BN,7.8
2,8,8290,Kevin Kolb,BN,0.0
2,8,7022,Lawrence Tynes,K,3.0
2,8,100011,Indianapolis,DEF,9.0
2,9,4650,Donovan McNabb,QB,9.98
2,9,6339,Andre Johnson,WR,15.3
2,9,8305,Steve Smith,WR,13.7
2,9,4863,Donald Driver,WR,13.1
2,9,7635,Ryan Grant,RB,13.6
2,9,7286,Brandon Jacobs,RB,7.3
2,9,7206,Heath Miller,TE,3.3
2,9,7779,Joseph Addai,BN,21.7
2,9,8292,Zach Miller,BN,0.0
2,9,8277,Dwayne Bowe,BN,9.4
2,9,4416,Matt Hasselbeck,BN,15.66
2,9,4653,Ricky Williams,BN,8.1
2,9,8290,Kevin Kolb,BN,0.0
2,9,7022,Lawrence Tynes,K,4.0
2,9,100011,Indianapolis,DEF,9.0
2,10,4650,Donovan McNabb,QB,23.0
2,10,4863,Donald Driver,WR,7.0
2,10,8277,Dwayne Bowe,WR,12.1
2,10,8982,Pierre Garcon,WR,10.5
2,10,7635,Ryan Grant,RB,9.7
2,10,7779,Joseph Addai,RB,15.8
2,10,7206,Heath Miller,TE,4.6
2,10,8292,Zach Miller,BN,1.4
2,10,6339,Andre Johnson,BN,0.0
2,10,8305,Steve Smith,BN,0.0
2,10,7286,Brandon Jacobs,BN,0.0
2,10,4416,Matt Hasselbeck,BN,14.3
2,10,4653,Ricky Williams,BN,11.7
2,10,4080,Ryan Longwell,K,4.0
2,10,100011,Indianapolis,DEF,5.0
2,11,4650,Donovan McNabb,QB,15.26
2,11,4863,Donald Driver,WR,6.5
2,11,6339,Andre Johnson,WR,13.8
2,11,8305,Steve Smith,WR,9.9
2,11,7779,Joseph Addai,RB,12.6
2,11,4653,Ricky Williams,RB,26.8
2,11,7206,Heath Miller,TE,17.0
2,11,8982,Pierre Garcon,BN,13.1
2,11,7635,Ryan Grant,BN,19.5
2,11,8292,Zach Miller,BN,13.0
2,11,7286,Brandon Jacobs,BN,10.2
2,11,4416,Matt Hasselbeck,BN,8.64
2,11,6975,Patrick Crayton,BN,5.5
2,11,4080,Ryan Longwell,K,0.0
2,11,100011,Indianapolis,DEF,5.0
2,12,4650,Donovan McNabb,QB,14.2
2,12,4863,Donald Driver,WR,21.7
2,12,6339,Andre Johnson,WR,9.2
2,12,8305,Steve Smith,WR,10.6
2,12,4653,Ricky Williams,RB,14.5
2,12,7635,Ryan Grant,RB,11.8
2,12,7206,Heath Miller,TE,0.7
2,12,7779,Joseph Addai,BN,9.7
2,12,8982,Pierre Garcon,BN,12.8
2,12,8292,Zach Miller,BN,9.8
2,12,7286,Brandon Jacobs,BN,7.2
2,12,4416,Matt Hasselbeck,BN,5.88
2,12,6975,Patrick Crayton,BN,0.0
2,12,4080,Ryan Longwell,K,8.0
2,12,100011,Indianapolis,DEF,8.0
3,1,1025,Brett Favre,QB,7.4
3,1,6762,Larry Fitzgerald,WR,14.1
3,1,8256,Calvin Johnson,WR,10.5
3,1,3664,Terrell Owens,WR,5.6
3,1,7178,Ronnie Brown,RB,6.8
3,1,5036,Thomas Jones,RB,18.7
3,1,6840,Chris Cooley,TE,14.3
3,1,6849,Matt Schaub,BN,6.24
3,1,6591,Kevin Walter,BN,0.0
3,1,8504,Ahmad Bradshaw,BN,8.6
3,1,8951,Josh Morgan,BN,5.3
3,1,7108,Earnest Graham,BN,0.1
